         484
   2        25    2    3 -0.18527959e+02 -0.12640188e+02  0.83349031e+02  0.12492743e+03
   2        23    4    7 -0.30491301e+02  0.94037512e+01  0.47800813e+02  0.89758712e+02
   2        23    8   11  0.11963343e+02 -0.22043939e+02  0.35548218e+02  0.12491695e+02
   1        13    0    0 -0.21729988e+02 -0.16027278e+02  0.67855399e+02  0.10566000e+00
   1        22    0    0  0.25382032e-04  0.42110624e-03  0.14112842e-04  0.00000000e+00
   1       -13    0    0 -0.86631189e+01  0.25138860e+02 -0.19823125e+02  0.10566000e+00
   1        22    0    0 -0.98220416e-01  0.29174831e+00 -0.23147411e+00  0.00000000e+00
   1        11    0    0  0.18675520e+01 -0.14315622e+02  0.24412754e+02  0.51000000e-03
   1        22    0    0  0.42748652e+01 -0.32485006e+01  0.47362637e+01  0.00000000e+00
   1       -11    0    0  0.54483474e+01 -0.41945084e+01  0.59916431e+01  0.51000000e-03
   1        22    0    0  0.37257835e+00 -0.28530809e+00  0.40755628e+00  0.00000000e+00
   2         2   62   62  0.64767614e+00  0.16136510e+01 -0.17178724e+03  0.33000000e+00
   2        21   62   62  0.11123774e+01  0.12738236e+01 -0.72485112e+02  0.00000000e+00
   2        21   62   62 -0.31420850e+01  0.78366526e+00 -0.17054216e+02  0.00000000e+00
   2        21   62   62  0.65951083e-01  0.14069955e+01 -0.66964790e+01  0.00000000e+00
   2        21   62   62 -0.80746858e+00 -0.86128091e+00 -0.16262637e+01  0.00000000e+00
   2        21   62   62 -0.13088845e+01 -0.21867312e+00 -0.19652693e+01  0.00000000e+00
   2        21   62   62 -0.26983447e+01  0.14496993e+01 -0.42562377e+01  0.00000000e+00
   2        21   62   62 -0.97818377e+00  0.96917830e+00 -0.13945158e+01  0.00000000e+00
   2        21   62   62 -0.33095383e-01  0.52460083e+01 -0.14899805e+01  0.00000000e+00
   2        21   62   62  0.22943090e+01  0.98050353e+00 -0.15257999e+01  0.00000000e+00
   2        21   62   62  0.13733563e+01  0.78179566e+00 -0.50445009e+00  0.00000000e+00
   2        21   62   62  0.80746858e+00  0.86128091e+00  0.72533449e-01  0.00000000e+00
   2        21   62   62  0.15333837e+01  0.13314686e+01  0.35839107e+00  0.00000000e+00
   2        21   62   62  0.12742733e+01 -0.11682848e+01  0.22619294e+01  0.00000000e+00
   2        21   62   62 -0.26159228e+00  0.93773789e+00  0.17347058e+01  0.00000000e+00
   2        21   62   62  0.82527969e+00  0.26285254e+00  0.78171084e+01  0.00000000e+00
   2        21   62   62  0.32018510e+01  0.17237458e+01  0.40510261e+02  0.00000000e+00
   2        21   62   62  0.19233072e+01  0.19860096e+01  0.58373539e+02  0.00000000e+00
   2        21   62   62  0.46844479e+01 -0.69103256e-01  0.10766365e+03  0.00000000e+00
   2        21   62   62  0.25240477e+01  0.14303329e+01  0.72397733e+03  0.00000000e+00
   2        21   62   62 -0.82527969e+00 -0.26285254e+00  0.31378731e+03  0.00000000e+00
   2        21   62   62  0.26159228e+00 -0.93773789e+00  0.13614361e+03  0.00000000e+00
   2        21   62   62 -0.13733563e+01 -0.78179566e+00  0.11515667e+03  0.00000000e+00
   2        21   62   62 -0.15333837e+01 -0.13314686e+01  0.10002245e+03  0.00000000e+00
   2        21   62   62 -0.46844479e+01  0.69103256e-01  0.16989588e+03  0.00000000e+00
   2        21   62   62 -0.12742733e+01  0.11682848e+01  0.43339367e+02  0.00000000e+00
   2        21   62   62 -0.22943090e+01 -0.98050353e+00  0.34751693e+02  0.00000000e+00
